group,metric,n,mean,median,std,q25,q75
library,Total_CDR_Length,1587,16.16446124763705,16.0,3.580815811430247,14.0,18.0
library,PSH_proxy,1587,0.7411783238815375,0.75,0.1653772037030163,0.75,0.75
library,PPC_proxy,1587,0.2996219281663516,0.25,0.15150521188663613,0.25,0.5
library,PNC_proxy,1587,0.354127284183995,0.25,0.13891460513992804,0.25,0.5
library,SFvCSP_proxy,1587,0.1151460580753307,0.1,0.08467180152099833,0.058823529411764705,0.17391304347826086
generated,Total_CDR_Length,512,16.158203125,16.0,2.0872296205717693,14.0,18.0
generated,PSH_proxy,512,0.73876953125,0.75,0.17693810655494072,0.6875,0.75
generated,PPC_proxy,512,0.298828125,0.25,0.14523950713385572,0.25,0.25
generated,PNC_proxy,512,0.37646484375,0.25,0.1823895605425033,0.25,0.5
generated,SFvCSP_proxy,512,0.11776123337587818,0.10818713450292397,0.08498627439683841,0.058823529411764705,0.17647058823529413
